objectid,title,perfumer,house,released,country,latitude,longitude,accords,notes,consolidated_notes,popularity,mode_gender,type,format,display_template,image_full,image_small,image_thumb,hyperlink
frag01,Snowy Owl,Dawn Spencer Hurwitz,Zoologist,2021,Canada,43.70885525,-79.44134516,green; earthy; fresh; floral; powdery,mint; snow; coconut; lily of the valley; iris; maté; snowdrop; galbanum; frankincense; white rose; ambrette; musk; tonka bean; cedar; civet; oakmoss; vanilla,mint; snow; coconut; lily of the valley; iris; maté; snowdrop; galbanum; frankincense; rose; ambrette; musk; tonka; cedar; civet; moss; vanilla,7,unisex,Image;StillImage,image/jpeg,image,https://media.parfumo.com/perfumes/55/5583b5_snowy-owl-zoologist_1200.jpg?width=720&aspect_ratio=1:1,https://media.parfumo.com/perfumes/55/5583b5_snowy-owl-zoologist_1200.jpg?width=720&aspect_ratio=1:2,https://media.parfumo.com/perfumes/55/5583b5_snowy-owl-zoologist_1200.jpg?width=720&aspect_ratio=1:3,https://www.parfumo.com/Perfumes/Zoologist/snowy-owl
frag02,Wūlong Chá,Jorge Lee,Nishane,2014,Türkiye,41.04239653,29.00290743,fresh; citrus; green; fruity; spicy,bergamot; litsea cubeba; mandarin orange; orange; oolong tea; tea; nutmeg; fig; musk,bergamot; litsea cubeba; mandarin orange; orange; oolong tea; tea; nutmeg; fig; musk,8.2,unisex,Image;StillImage,image/jpeg,image,https://media.parfumo.com/perfumes/f5/f56a0a-wulong-cha-extrait-de-parfum-nishane_1200.jpg?width=720&aspect_ratio=1:1,https://media.parfumo.com/perfumes/f5/f56a0a-wulong-cha-extrait-de-parfum-nishane_1200.jpg?width=720&aspect_ratio=1:2,https://media.parfumo.com/perfumes/f5/f56a0a-wulong-cha-extrait-de-parfum-nishane_1200.jpg?width=720&aspect_ratio=1:3,
frag03,Whispers in the Library,Unknown,Maison Margiela,2019,Belgium,50.853257,4.345152435,woody; sweet; spicy; powdery; creamy,pepper; orange blossom absolute; patchouli; tonka; benzoin; cypriol; vanilla; cedarwood; vetiver,pepper; orange blossom absolute; orange blossom; patchouli; tonka; benzoin; cypriol; vanilla; cedarwood; cedar; vetiver,7.9,unisex,Image;StillImage,image/jpeg,image,https://media.parfumo.com/perfumes/cb/cb85ff-whispers-in-the-library-maison-margiela_1200.jpg?width=720&aspect_ratio=1:1,https://media.parfumo.com/perfumes/cb/cb85ff-whispers-in-the-library-maison-margiela_1200.jpg?width=720&aspect_ratio=1:2,https://media.parfumo.com/perfumes/cb/cb85ff-whispers-in-the-library-maison-margiela_1200.jpg?width=720&aspect_ratio=1:3,
frag04,By the Fireplace,Marie Salamagne,Maison Margiela,2015,Belgium,50.853257,4.345152435,smoky; sweet; woody; spicy; gourmand,clove; orange blossom absolute; orange blossom; pink pepper; pepper; gaiac wood; gaiac; chestnut; cade juniper; juniper; vanilla; cashmeran; peru balsam; balsam,clove; orange blossom absolute; pink pepper; gaiac wood; chestnut; cade juniper; vanilla; cashmeran; peru balsam,7.9,unisex,Image;StillImage,image/jpeg,image,https://media.parfumo.com/perfumes/bb/bb736c-by-the-fireplace-maison-margiela_1200.jpg?width=720&aspect_ratio=1:1,https://media.parfumo.com/perfumes/bb/bb736c-by-the-fireplace-maison-margiela_1200.jpg?width=720&aspect_ratio=1:2,https://media.parfumo.com/perfumes/bb/bb736c-by-the-fireplace-maison-margiela_1200.jpg?width=720&aspect_ratio=1:3,
frag05,Thé Noir 29,Frank Voelkl,Le Labo,2015,France; USA,40.72325276,-73.99414485,woody; spicy; green; fruity; fresh,black tea; fig; cedarwood; musk; bay leaf; bergamot; vetiver,black tea; tea; fig; cedarwood; cedar; musk; bay leaf; bergamot; vetiver,8.1,unisex,Image;StillImage,image/jpeg,image,https://media.parfumo.com/perfumes/30/3002f5-the-noir-29-eau-de-parfum-le-labo_1200.jpg?width=720&aspect_ratio=1:1,https://media.parfumo.com/perfumes/30/3002f5-the-noir-29-eau-de-parfum-le-labo_1200.jpg?width=720&aspect_ratio=1:2,https://media.parfumo.com/perfumes/30/3002f5-the-noir-29-eau-de-parfum-le-labo_1200.jpg?width=720&aspect_ratio=1:3,
frag06,Amber Kiso,David Seth Motz,D.S. & Durga,2018,USA,40.72333905,-73.99588178,woody; leathery; smoky; resinous; spicy,frankincense; cypress; cryptomeria; patchouli; iris; maple; leather; hinoki cypress; moss,frankincense; cypress; cryptomeria; patchouli; iris; maple; leather; hinoki cypress; moss; hinoki,7.8,unisex,Image;StillImage,image/jpeg,image,https://media.parfumo.com/perfumes/ea/ea63d2-amber-kiso-d-s-durga_1200.jpg?width=720&aspect_ratio=1:1,https://media.parfumo.com/perfumes/ea/ea63d2-amber-kiso-d-s-durga_1200.jpg?width=720&aspect_ratio=1:2,https://media.parfumo.com/perfumes/ea/ea63d2-amber-kiso-d-s-durga_1200.jpg?width=720&aspect_ratio=1:3,
frag07,Concrete,Nicolas Beaulieu,Comme des Garçons,2017,Japan,35.67801066,139.7644951,synthetic; floral; sweet; spicy; woody,cardamom; clove; cumin; rose; jasmine; sandalwood; musk; cedarwood,cardamom; clove; cumin; rose; jasmine; sandalwood; musk; cedarwood; cedar,7.2,unisex,Image;StillImage,image/jpeg,image,https://media.parfumo.com/perfumes/37/371ab2-concrete-comme-des-garcons_1200.jpg?width=720&aspect_ratio=1:1,https://media.parfumo.com/perfumes/37/371ab2-concrete-comme-des-garcons_1200.jpg?width=720&aspect_ratio=1:2,https://media.parfumo.com/perfumes/37/371ab2-concrete-comme-des-garcons_1200.jpg?width=720&aspect_ratio=1:3,
frag08,Squid,Céline Barel,Zoologist,2019,Canada,43.70885525,-79.44134516,aquatic; spicy; resinous; smoky; sweet,frankincense; salicylate; pink pepper; salty notes; ink; opoponax; ambergris; benzoin,frankincense; salicylate; pink pepper; pepper; salty notes; salt; ink; opoponax; ambergris; benzoin; resin,7.6,unisex,Image;StillImage,image/jpeg,image,https://media.parfumo.com/perfumes/3f/3f90b9_squid-zoologist_1200.jpg?width=720&aspect_ratio=1:1,https://media.parfumo.com/perfumes/3f/3f90b9_squid-zoologist_1200.jpg?width=720&aspect_ratio=1:1,https://media.parfumo.com/perfumes/3f/3f90b9_squid-zoologist_1200.jpg?width=720&aspect_ratio=1:1,https://www.parfumo.com/Perfumes/Zoologist/squid
frag09,Irish Leather,Aliénor Massenet,Memo Paris,2013,France,54.07719387,7.688825193,leathery; spicy; green; woody; smoky,juniper; mandarin orange; pink pepper; maté; orris; clary sage; leather; cedarwood; vetiver,juniper; mandarin orange; orange; pink pepper; pepper; maté; orris; clary sage; sage; leather; cedarwood; cedar; vetiver,7.7,unisex,Image;StillImage,image/jpeg,image,https://media.parfumo.com/perfumes/0c/0c34bb-irish-leather-eau-de-parfum-memo-paris_1200.jpg?width=720&aspect_ratio=1:1,https://media.parfumo.com/perfumes/0c/0c34bb-irish-leather-eau-de-parfum-memo-paris_1200.jpg?width=720&aspect_ratio=1:2,https://media.parfumo.com/perfumes/0c/0c34bb-irish-leather-eau-de-parfum-memo-paris_1200.jpg?width=720&aspect_ratio=1:3,
frag10,Thé Matcha 26,Frank Voelkl,Le Labo,2021,France; USA,40.72325276,-73.99414485,green; woody; creamy; fresh; sweet,fig; cedarwood; bitter orange; vetiver; matcha,fig; cedarwood; cedar; bitter orange; orange; vetiver; matcha; tea,7.9,unisex,Image;StillImage,image/jpeg,image,https://media.parfumo.com/perfumes/4a/4abca5-the-matcha-26-le-labo_1200.jpg?width=720&aspect_ratio=1:1,https://media.parfumo.com/perfumes/4a/4abca5-the-matcha-26-le-labo_1200.jpg?width=720&aspect_ratio=1:2,https://media.parfumo.com/perfumes/4a/4abca5-the-matcha-26-le-labo_1200.jpg?width=720&aspect_ratio=1:3,
frag11,Hazelnut in Oak,Pascal Guarin,Scents of Wood,2022,USA,40.76383093,-111.9010746,green; fresh; woody; spicy; sweet,fig leaf; hazlenut; cashmeran; egyptian violet leaf absolute; haitian vetiver; jasmine sambac absolute; mandarin orange; musk; oak wood; sicilian bergamot,fig leaf; fig; hazlenut; cashmeran; egyptian violet leaf absolute; violet leaf; violet; haitian vetiver; vetiver; jasmine sambac absolute; jasmine sambac; jasmine; mandarin orange; orange; musk; oak wood; oak; sicilian bergamot; bergamot,7.1,unisex,Image;StillImage,image/jpeg,image,https://media.parfumo.com/perfumes/39/391b8f-hazelnut-in-oak-scents-of-wood_1200.jpg?width=720&aspect_ratio=1:1,https://media.parfumo.com/perfumes/39/391b8f-hazelnut-in-oak-scents-of-wood_1200.jpg?width=720&aspect_ratio=1:2,https://media.parfumo.com/perfumes/39/391b8f-hazelnut-in-oak-scents-of-wood_1200.jpg?width=720&aspect_ratio=1:3,https://www.parfumo.com/Perfumes/scents-of-wood/hazelnut-in-oak
frag12,Hinoki in Hinoki,Chiaki Nomura,Scents of Wood,2022,USA,40.76383093,-111.9010746,woody; spicy; green; fresh; resinous,cypress; frankinsense; frankincense absolute; moss; texas cedar; clove leaf; white thyme; cashmeran; peruvian pepper tree,cypress; frankinsense; frankincense absolute; moss; texas cedar; cedar; clove leaf; clove; white thyme; thyme; cashmeran; peruvian pepper tree; pepper,8,unisex,Image;StillImage,image/jpeg,image,https://media.parfumo.com/perfumes/91/913960-hinoki-in-hinoki-scents-of-wood_1200.jpg?width=720&aspect_ratio=1:1,https://media.parfumo.com/perfumes/91/913960-hinoki-in-hinoki-scents-of-wood_1200.jpg?width=720&aspect_ratio=1:2,https://media.parfumo.com/perfumes/91/913960-hinoki-in-hinoki-scents-of-wood_1200.jpg?width=720&aspect_ratio=1:3,https://www.parfumo.com/Perfumes/scents-of-wood/hinoki-in-hinoki
frag13,Santal Umeshu,Céline Barel,Scents of Wood,2022,USA,40.76383093,-111.9010746,green; woody; fruity; spicy; sweet,egyptian violet leaf absolute; ambrette seed absolute; caraway; davana; madagascan ginger; mandarin orange; new caledonian sandalwood; umeshu; vanilla CO2,egyptian violet leaf absolute; violet leaf; violet; ambrette seed absolute; ambrette; caraway; davana; madagascan ginger; ginger; mandarin orange; orange; new caledonian sandalwood; sandalwood; umeshu; vanilla CO2; vanilla,7.2,unisex,Image;StillImage,image/jpeg,image,https://media.parfumo.com/perfumes/17/1736a7-santal-umeshu-scents-of-wood_1200.jpg?width=720&aspect_ratio=1:1,https://media.parfumo.com/perfumes/17/1736a7-santal-umeshu-scents-of-wood_1200.jpg?width=720&aspect_ratio=1:2,https://media.parfumo.com/perfumes/17/1736a7-santal-umeshu-scents-of-wood_1200.jpg?width=720&aspect_ratio=1:3,https://www.parfumo.com/Perfumes/scents-of-wood/santal-umeshu
